type,iso3,country,investor,averageTIS,transactions,fundingEURM,investors
country,GBR,United Kingdom,,0.25,42576,224790,3991
country,FRA,France,,0.29,17169,82261,1775
country,DEU,Germany,,0.24,16017,84771,2150
country,ESP,Spain,,0.16,11566,44844,1048
country,NLD,Netherlands,,0.27,5903,21676,1154
country,CHE,Switzerland,,0.37,5629,20679,1215
country,SWE,Sweden,,0.27,5176,27957,826
country,NOR,Norway,,0.24,4596,11748,431
country,ITA,Italy,,0.26,3661,13245,472
country,BEL,Belgium,,0.31,3127,6387,559
country,FIN,Finland,,0.29,3118,10238,602
country,IRL,Ireland,,0.24,2891,17911,678
country,DNK,Denmark,,0.28,2565,10839,552
country,POL,Poland,,0.13,1745,3920,362
country,AUT,Austria,,0.27,1527,3160,382
country,PRT,Portugal,,0.20,1488,3613,318
country,TUR,Türkiye,,0.09,1474,5424,275
country,EST,Estonia,,0.16,1111,2162,362
country,CZE,Czech Republic,,0.14,878,2145,165
country,HUN,Hungary,,0.16,868,595,117
country,ISL,Iceland,,0.17,773,1257,101
country,LTU,Lithuania,,0.14,674,1355,175
country,BGR,Bulgaria,,0.09,532,312,91
country,GRC,Greece,,0.19,458,1906,155
country,ROU,Romania,,0.12,433,535,104
country,LUX,Luxembourg,,0.14,407,2345,197
country,SVN,Slovenia,,0.27,316,205,75
country,LVA,Latvia,,0.16,297,177,100
country,SVK,Slovakia,,0.19,238,156,73
country,HRV,Croatia,,0.13,230,815,67
country,CYP,Cyprus,,0.17,149,273,68
country,SRB,Serbia,,0.11,137,513,64
country,MLT,Malta,,0.17,100,1863,78
country,LIE,Liechtenstein,,0.16,96,1469,67
country,MKD,North Macedonia,,0.10,29,136,18
country,SMR,San Marino,,0.02,8,2,8
country,ALB,Albania,,0.03,4,85,2
country,MNE,Montenegro,,0.10,3,4,3
country,MCO,Monaco,,0.00,1,0,1
investor,CHE,Switzerland,Venture Kick,0.436,704,,
investor,CHE,Switzerland,Fondation FIT,0.52,376,,
investor,CHE,Switzerland,EIC,0.448,245,,
investor,CHE,Switzerland,Eurostars SME programme,0.391,190,,
investor,CHE,Switzerland,Verve Ventures,0.506,152,,
investor,CHE,Switzerland,ZKB - Zürcher Kantonalbank,0.673,133,,
investor,CHE,Switzerland,Innosuisse,0.576,97,,
investor,CHE,Switzerland,Swiss ICT Investor Club (SICTIC),0.153,82,,
investor,CHE,Switzerland,ESA BIC Switzerland,0.5,77,,
investor,CHE,Switzerland,Swisscom Ventures,0.506,69,,
