iso3,country,measure,measure_name,unit,year,obs_value,year_date
ISL,Iceland,P_ICTPCT,patents in the ICT sector - applications filed under the PCT,PATN,2018,0,2018-01-01
LVA,Latvia,P_ICTPCT,patents in the ICT sector - applications filed under the PCT,PATN,2019,0,2019-01-01
CRI,Costa Rica,P_BIOPCT,patents in the biotechnology sector - applications filed under the PCT,PATN,2021,0,2021-01-01
ISL,Iceland,P_BIOPCT,patents in the biotechnology sector - applications filed under the PCT,PATN,2021,0,2021-01-01
ISL,Iceland,P_BIOPCT,patents in the biotechnology sector - applications filed under the PCT,PATN,2022,0,2022-01-01
BGR,Bulgaria,P_BIOPCT,patents in the biotechnology sector - applications filed under the PCT,PATN,2018,0,2018-01-01
ROU,Romania,P_BIOPCT,patents in the biotechnology sector - applications filed under the PCT,PATN,2019,0,2019-01-01
COL,Colombia,GV_FB,GOVERD financed by the business sector,PT_GOVERD,2019,0,2019-01-01
COL,Colombia,C_GUF,Civil GBARD for General University Funds (GUF),PT_GBARD_C,2017,0,2017-01-01
COL,Colombia,C_GUF,Civil GBARD for General University Funds (GUF),PT_GBARD_C,2018,0,2018-01-01
COL,Colombia,C_GUF,Civil GBARD for General University Funds (GUF),PT_GBARD_C,2019,0,2019-01-01
COL,Colombia,C_GUF,Civil GBARD for General University Funds (GUF),PT_GBARD_C,2020,0,2020-01-01
USA,United States,C_GUF,Civil GBARD for General University Funds (GUF),PT_GBARD_C,2017,0,2017-01-01
USA,United States,C_GUF,Civil GBARD for General University Funds (GUF),PT_GBARD_C,2018,0,2018-01-01
USA,United States,C_GUF,Civil GBARD for General University Funds (GUF),PT_GBARD_C,2019,0,2019-01-01
USA,United States,C_GUF,Civil GBARD for General University Funds (GUF),PT_GBARD_C,2020,0,2020-01-01
USA,United States,C_GUF,Civil GBARD for General University Funds (GUF),PT_GBARD_C,2021,0,2021-01-01
USA,United States,C_GUF,Civil GBARD for General University Funds (GUF),PT_GBARD_C,2022,0,2022-01-01
USA,United States,C_GUF,Civil GBARD for General University Funds (GUF),PT_GBARD_C,2023,0,2023-01-01
COL,Colombia,C_SPA,Civil GBARD for Space programmes,PT_GBARD_C,2018,0,2018-01-01
COL,Colombia,C_SPA,Civil GBARD for Space programmes,PT_GBARD_C,2019,0,2019-01-01
COL,Colombia,C_SPA,Civil GBARD for Space programmes,PT_GBARD_C,2020,0,2020-01-01
EST,Estonia,C_SPA,Civil GBARD for Space programmes,PT_GBARD_C,2023,0,2023-01-01
ISL,Iceland,C_SPA,Civil GBARD for Space programmes,PT_GBARD_C,2017,0,2017-01-01
ISL,Iceland,C_SPA,Civil GBARD for Space programmes,PT_GBARD_C,2018,0,2018-01-01
ISL,Iceland,C_SPA,Civil GBARD for Space programmes,PT_GBARD_C,2019,0,2019-01-01
ISL,Iceland,C_SPA,Civil GBARD for Space programmes,PT_GBARD_C,2020,0,2020-01-01
ISL,Iceland,C_SPA,Civil GBARD for Space programmes,PT_GBARD_C,2021,0,2021-01-01
ISL,Iceland,C_SPA,Civil GBARD for Space programmes,PT_GBARD_C,2022,0,2022-01-01
ISL,Iceland,C_SPA,Civil GBARD for Space programmes,PT_GBARD_C,2023,0,2023-01-01
LTU,Lithuania,C_SPA,Civil GBARD for Space programmes,PT_GBARD_C,2017,0,2017-01-01
LTU,Lithuania,C_SPA,Civil GBARD for Space programmes,PT_GBARD_C,2018,0,2018-01-01
LTU,Lithuania,C_SPA,Civil GBARD for Space programmes,PT_GBARD_C,2019,0,2019-01-01
LTU,Lithuania,C_SPA,Civil GBARD for Space programmes,PT_GBARD_C,2020,0,2020-01-01
LUX,Luxembourg,C_SPA,Civil GBARD for Space programmes,PT_GBARD_C,2017,0,2017-01-01
NZL,New Zealand,C_SPA,Civil GBARD for Space programmes,PT_GBARD_C,2017,0,2017-01-01
HRV,Croatia,C_SPA,Civil GBARD for Space programmes,PT_GBARD_C,2020,0,2020-01-01
HRV,Croatia,C_SPA,Civil GBARD for Space programmes,PT_GBARD_C,2021,0,2021-01-01
CHL,Chile,C_DF,Defence Budget R&D,PT_GBARD,2018,0,2018-01-01
CHL,Chile,C_DF,Defence Budget R&D,PT_GBARD,2020,0,2020-01-01
CHL,Chile,C_DF,Defence Budget R&D,PT_GBARD,2021,0,2021-01-01
ISL,Iceland,C_DF,Defence Budget R&D,PT_GBARD,2017,0,2017-01-01
ISL,Iceland,C_DF,Defence Budget R&D,PT_GBARD,2018,0,2018-01-01
ISL,Iceland,C_DF,Defence Budget R&D,PT_GBARD,2019,0,2019-01-01
ISL,Iceland,C_DF,Defence Budget R&D,PT_GBARD,2020,0,2020-01-01
ISL,Iceland,C_DF,Defence Budget R&D,PT_GBARD,2021,0,2021-01-01
ISL,Iceland,C_DF,Defence Budget R&D,PT_GBARD,2022,0,2022-01-01
ISL,Iceland,C_DF,Defence Budget R&D,PT_GBARD,2023,0,2023-01-01
IRL,Ireland,C_DF,Defence Budget R&D,PT_GBARD,2017,0,2017-01-01
IRL,Ireland,C_DF,Defence Budget R&D,PT_GBARD,2018,0,2018-01-01
