iso3,country,measure,measure_name,unit,unit_name,year,year_date,bds,obs_value
LTU,Lithuania,VC_INV_MKT,Venture capital investments (market statistics),PT_B1GQ,Percentage of GDP,2017,2017-01-01,SEED,0
LUX,Luxembourg,VC_INV_MKT,Venture capital investments (market statistics),PT_B1GQ,Percentage of GDP,2019,2019-01-01,SEED,0
SVK,Slovak Republic,VC_INV_MKT,Venture capital investments (market statistics),PT_B1GQ,Percentage of GDP,2017,2017-01-01,SEED,0
SVK,Slovak Republic,VC_INV_MKT,Venture capital investments (market statistics),PT_B1GQ,Percentage of GDP,2018,2018-01-01,SEED,0
SVK,Slovak Republic,VC_INV_MKT,Venture capital investments (market statistics),PT_B1GQ,Percentage of GDP,2019,2019-01-01,SEED,0
SVN,Slovenia,VC_INV_MKT,Venture capital investments (market statistics),PT_B1GQ,Percentage of GDP,2018,2018-01-01,SEED,0
HRV,Croatia,VC_INV_MKT,Venture capital investments (market statistics),PT_B1GQ,Percentage of GDP,2017,2017-01-01,SEED,0
ROU,Romania,VC_INV_MKT,Venture capital investments (market statistics),PT_B1GQ,Percentage of GDP,2017,2017-01-01,SEED,0
ROU,Romania,VC_INV_MKT,Venture capital investments (market statistics),PT_B1GQ,Percentage of GDP,2018,2018-01-01,SEED,0
CZE,Czechia,VC_INV_MKT,Venture capital investments (market statistics),PT_B1GQ,Percentage of GDP,2017,2017-01-01,LATER,0
CZE,Czechia,VC_INV_MKT,Venture capital investments (market statistics),PT_B1GQ,Percentage of GDP,2018,2018-01-01,LATER,0
LVA,Latvia,VC_INV_MKT,Venture capital investments (market statistics),PT_B1GQ,Percentage of GDP,2017,2017-01-01,LATER,0
LVA,Latvia,VC_INV_MKT,Venture capital investments (market statistics),PT_B1GQ,Percentage of GDP,2018,2018-01-01,LATER,0
LVA,Latvia,VC_INV_MKT,Venture capital investments (market statistics),PT_B1GQ,Percentage of GDP,2020,2020-01-01,LATER,0
LVA,Latvia,VC_INV_MKT,Venture capital investments (market statistics),PT_B1GQ,Percentage of GDP,2024,2024-01-01,LATER,0
