iso3,country,index,index_name,rank,year,date
ARG,Argentina,WCR,IMD World Competitiveness Ranking,NA,Change,NA
AUS,Australia,WCR,IMD World Competitiveness Ranking,-5,Change,NA
AUT,Austria,WCR,IMD World Competitiveness Ranking,0,Change,NA
BHR,Bahrain,WCR,IMD World Competitiveness Ranking,-1,Change,NA
BEL,Belgium,WCR,IMD World Competitiveness Ranking,-6,Change,NA
BWA,Botswana,WCR,IMD World Competitiveness Ranking,NA,Change,NA
BRA,Brazil,WCR,IMD World Competitiveness Ranking,NA,Change,NA
BGR,Bulgaria,WCR,IMD World Competitiveness Ranking,NA,Change,NA
CAN,Canada,WCR,IMD World Competitiveness Ranking,8,Change,NA
CHL,Chile,WCR,IMD World Competitiveness Ranking,2,Change,NA
CHN,China,WCR,IMD World Competitiveness Ranking,NA,Change,NA
COL,Colombia,WCR,IMD World Competitiveness Ranking,NA,Change,NA
HRV,Croatia,WCR,IMD World Competitiveness Ranking,NA,Change,NA
CYP,Cyprus,WCR,IMD World Competitiveness Ranking,-1,Change,NA
CZE,Czech Republic,WCR,IMD World Competitiveness Ranking,NA,Change,NA
DNK,Denmark,WCR,IMD World Competitiveness Ranking,-1,Change,NA
EST,Estonia,WCR,IMD World Competitiveness Ranking,0,Change,NA
FIN,Finland,WCR,IMD World Competitiveness Ranking,1,Change,NA
FRA,France,WCR,IMD World Competitiveness Ranking,-1,Change,NA
DEU,Germany,WCR,IMD World Competitiveness Ranking,5,Change,NA
GHA,Ghana,WCR,IMD World Competitiveness Ranking,NA,Change,NA
GRC,Greece,WCR,IMD World Competitiveness Ranking,-3,Change,NA
HKG,Hong Kong SAR,WCR,IMD World Competitiveness Ranking,NA,Change,NA
HUN,Hungary,WCR,IMD World Competitiveness Ranking,NA,Change,NA
ISL,Iceland,WCR,IMD World Competitiveness Ranking,2,Change,NA
IND,India,WCR,IMD World Competitiveness Ranking,-2,Change,NA
IDN,Indonesia,WCR,IMD World Competitiveness Ranking,-13,Change,NA
IRL,Ireland,WCR,IMD World Competitiveness Ranking,-3,Change,NA
ITA,Italy,WCR,IMD World Competitiveness Ranking,-1,Change,NA
JPN,Japan,WCR,IMD World Competitiveness Ranking,3,Change,NA
JOR,Jordan,WCR,IMD World Competitiveness Ranking,1,Change,NA
KAZ,Kazakhstan,WCR,IMD World Competitiveness Ranking,1,Change,NA
KEN,Kenya,WCR,IMD World Competitiveness Ranking,NA,Change,NA
KWT,Kuwait,WCR,IMD World Competitiveness Ranking,1,Change,NA
LVA,Latvia,WCR,IMD World Competitiveness Ranking,7,Change,NA
LTU,Lithuania,WCR,IMD World Competitiveness Ranking,9,Change,NA
LUX,Luxembourg,WCR,IMD World Competitiveness Ranking,3,Change,NA
MYS,Malaysia,WCR,IMD World Competitiveness Ranking,11,Change,NA
MEX,Mexico,WCR,IMD World Competitiveness Ranking,NA,Change,NA
MNG,Mongolia,WCR,IMD World Competitiveness Ranking,NA,Change,NA
NAM,Namibia,WCR,IMD World Competitiveness Ranking,NA,Change,NA
NLD,Netherlands,WCR,IMD World Competitiveness Ranking,-1,Change,NA
NZL,New Zealand,WCR,IMD World Competitiveness Ranking,1,Change,NA
NGA,Nigeria,WCR,IMD World Competitiveness Ranking,NA,Change,NA
NOR,Norway,WCR,IMD World Competitiveness Ranking,-2,Change,NA
OMN,Oman,WCR,IMD World Competitiveness Ranking,NA,Change,NA
PER,Peru,WCR,IMD World Competitiveness Ranking,NA,Change,NA
PHL,Philippines,WCR,IMD World Competitiveness Ranking,NA,Change,NA
POL,Poland,WCR,IMD World Competitiveness Ranking,-11,Change,NA
PRT,Portugal,WCR,IMD World Competitiveness Ranking,-1,Change,NA
PRI,Puerto Rico,WCR,IMD World Competitiveness Ranking,4,Change,NA
QAT,Qatar,WCR,IMD World Competitiveness Ranking,2,Change,NA
ROU,Romania,WCR,IMD World Competitiveness Ranking,1,Change,NA
SAU,Saudi Arabia,WCR,IMD World Competitiveness Ranking,-1,Change,NA
SGP,Singapore,WCR,IMD World Competitiveness Ranking,-1,Change,NA
SVK,Slovak Republic,WCR,IMD World Competitiveness Ranking,NA,Change,NA
SVN,Slovenia,WCR,IMD World Competitiveness Ranking,0,Change,NA
ZAF,South Africa,WCR,IMD World Competitiveness Ranking,NA,Change,NA
KOR,South Korea,WCR,IMD World Competitiveness Ranking,-7,Change,NA
ESP,Spain,WCR,IMD World Competitiveness Ranking,1,Change,NA
SWE,Sweden,WCR,IMD World Competitiveness Ranking,-2,Change,NA
CHE,Switzerland,WCR,IMD World Competitiveness Ranking,1,Change,NA
TWN,Taiwan (Chinese Taipei),WCR,IMD World Competitiveness Ranking,NA,Change,NA
THA,Thailand,WCR,IMD World Competitiveness Ranking,-5,Change,NA
TUR,Türkiye,WCR,IMD World Competitiveness Ranking,NA,Change,NA
ARE,UAE,WCR,IMD World Competitiveness Ranking,NA,Change,NA
USA,USA,WCR,IMD World Competitiveness Ranking,NA,Change,NA
GBR,United Kingdom,WCR,IMD World Competitiveness Ranking,-1,Change,NA
VEN,Venezuela,WCR,IMD World Competitiveness Ranking,NA,Change,NA
ALB,Albania,EIS,European Innovation Scoreboard,-2,Change,NA
ARG,Argentina,WDCR,IMD World Digital Competitiveness Ranking,NA,Change,NA
AUS,Australia,EIS,European Innovation Scoreboard,2,Change,NA
AUS,Australia,GII,Global Innovation Index,1,Change,NA
AUS,Australia,WDCR,IMD World Digital Competitiveness Ranking,1,Change,NA
AUT,Austria,EIS,European Innovation Scoreboard,-1,Change,NA
AUT,Austria,GII,Global Innovation Index,1,Change,NA
AUT,Austria,WDCR,IMD World Digital Competitiveness Ranking,-3,Change,NA
BHR,Bahrain,WDCR,IMD World Digital Competitiveness Ranking,NA,Change,NA
BEL,Belgium,EIS,European Innovation Scoreboard,0,Change,NA
BEL,Belgium,GII,Global Innovation Index,-1,Change,NA
BEL,Belgium,WDCR,IMD World Digital Competitiveness Ranking,-6,Change,NA
BIH,Bosnia & Herzegovina,EIS,European Innovation Scoreboard,2,Change,NA
BRA,Brazil,EIS,European Innovation Scoreboard,0,Change,NA
BRA,Brazil,GII,Global Innovation Index,-1,Change,NA
BRA,Brazil,WDCR,IMD World Digital Competitiveness Ranking,NA,Change,NA
BGR,Bulgaria,EIS,European Innovation Scoreboard,0,Change,NA
BGR,Bulgaria,GII,Global Innovation Index,0,Change,NA
BGR,Bulgaria,WDCR,IMD World Digital Competitiveness Ranking,NA,Change,NA
CAN,Canada,EIS,European Innovation Scoreboard,1,Change,NA
CAN,Canada,GII,Global Innovation Index,1,Change,NA
CAN,Canada,WDCR,IMD World Digital Competitiveness Ranking,-2,Change,NA
