iso3,country,measure,measure_name,unit,year,obs_value,year_date
DNK,Denmark,B_FG,BERD financed by government,PT_BERD,2017,2.0953455848,2017-01-01
DNK,Denmark,B_FG,BERD financed by government,PT_BERD,2019,2.4632556349,2019-01-01
LVA,Latvia,B_COMP,"BERD performed in the computer, electronic and optical industry",PT_BERD,2017,8.5066666667,2017-01-01
LVA,Latvia,B_COMP,"BERD performed in the computer, electronic and optical industry",PT_BERD,2018,11.792656587,2018-01-01
LVA,Latvia,B_COMP,"BERD performed in the computer, electronic and optical industry",PT_BERD,2019,6.2183235867,2019-01-01
LVA,Latvia,B_COMP,"BERD performed in the computer, electronic and optical industry",PT_BERD,2020,6.1678737713,2020-01-01
LVA,Latvia,B_COMP,"BERD performed in the computer, electronic and optical industry",PT_BERD,2021,7.7435416599,2021-01-01
USA,United States,B_AERO,BERD performed in the aerospace industry,PT_BERD,2017,6.4882821056,2017-01-01
USA,United States,B_AERO,BERD performed in the aerospace industry,PT_BERD,2018,5.4306537785,2018-01-01
USA,United States,B_AERO,BERD performed in the aerospace industry,PT_BERD,2019,3.717798653,2019-01-01
USA,United States,B_AERO,BERD performed in the aerospace industry,PT_BERD,2020,4.204020461,2020-01-01
USA,United States,B_AERO,BERD performed in the aerospace industry,PT_BERD,2021,3.4355520584,2021-01-01
MEX,Mexico,G_FON,GERD financed by the Higher Education and PNP sectors,PT_GERD,2017,3.3072046474,2017-01-01
JPN,Japan,B_FON,BERD financed by the Higher Education and PNP sectors,PT_BERD,2017,0.1017327616,2017-01-01
JPN,Japan,B_FON,BERD financed by the Higher Education and PNP sectors,PT_BERD,2018,0.0655161016,2018-01-01
JPN,Japan,B_FON,BERD financed by the Higher Education and PNP sectors,PT_BERD,2019,0.0325920266,2019-01-01
JPN,Japan,B_FON,BERD financed by the Higher Education and PNP sectors,PT_BERD,2020,0.0971731621,2020-01-01
JPN,Japan,B_FON,BERD financed by the Higher Education and PNP sectors,PT_BERD,2021,0.0935009855,2021-01-01
JPN,Japan,B_FON,BERD financed by the Higher Education and PNP sectors,PT_BERD,2022,0.1168820431,2022-01-01
POL,Poland,H_RS,Higher education sector researchers,PT_RSH,2017,49.218484095,2017-01-01
POL,Poland,H_RS,Higher education sector researchers,PT_RSH,2018,48.43299643,2018-01-01
POL,Poland,H_RS,Higher education sector researchers,PT_RSH,2019,49.63321742,2019-01-01
POL,Poland,H_RS,Higher education sector researchers,PT_RSH,2020,46.173225136,2020-01-01
POL,Poland,H_RS,Higher education sector researchers,PT_RSH,2021,43.831722444,2021-01-01
POL,Poland,H_RS,Higher education sector researchers,PT_RSH,2022,41.457717815,2022-01-01
FRA,France,C_CV,Civil Budget R&D,PT_GBARD,2017,92.032435378,2017-01-01
