iso2,iso3,country,index,index_name,year,rank
AT,AUT,Austria,EIS,European Innovation Scoreboard,2018-01-01,12
BE,BEL,Belgium,EIS,European Innovation Scoreboard,2018-01-01,9
BG,BGR,Bulgaria,EIS,European Innovation Scoreboard,2018-01-01,40
CY,CYP,Cyprus,EIS,European Innovation Scoreboard,2018-01-01,27
CZ,CZE,Czechia,EIS,European Innovation Scoreboard,2018-01-01,28
DE,DEU,Germany,EIS,European Innovation Scoreboard,2018-01-01,14
DK,DNK,Denmark,EIS,European Innovation Scoreboard,2018-01-01,3
EE,EST,Estonia,EIS,European Innovation Scoreboard,2018-01-01,26
GR,GRC,Greece,EIS,European Innovation Scoreboard,2018-01-01,30
ES,ESP,Spain,EIS,European Innovation Scoreboard,2018-01-01,21
FI,FIN,Finland,EIS,European Innovation Scoreboard,2018-01-01,5
FR,FRA,France,EIS,European Innovation Scoreboard,2018-01-01,15
HR,HRV,Croatia,EIS,European Innovation Scoreboard,2018-01-01,33
HU,HUN,Hungary,EIS,European Innovation Scoreboard,2018-01-01,32
IE,IRL,Ireland,EIS,European Innovation Scoreboard,2018-01-01,10
IT,ITA,Italy,EIS,European Innovation Scoreboard,2018-01-01,24
LT,LTU,Lithuania,EIS,European Innovation Scoreboard,2018-01-01,29
LU,LUX,Luxembourg,EIS,European Innovation Scoreboard,2018-01-01,7
LV,LVA,Latvia,EIS,European Innovation Scoreboard,2018-01-01,34
MT,MLT,Malta,EIS,European Innovation Scoreboard,2018-01-01,22
NL,NLD,Netherlands,EIS,European Innovation Scoreboard,2018-01-01,4
PL,POL,Poland,EIS,European Innovation Scoreboard,2018-01-01,36
PT,PRT,Portugal,EIS,European Innovation Scoreboard,2018-01-01,20
RO,ROU,Romania,EIS,European Innovation Scoreboard,2018-01-01,44
SE,SWE,Sweden,EIS,European Innovation Scoreboard,2018-01-01,2
SI,SVN,Slovenia,EIS,European Innovation Scoreboard,2018-01-01,23
SK,SVK,Slovak Republic,EIS,European Innovation Scoreboard,2018-01-01,31
AL,ALB,Albania,EIS,European Innovation Scoreboard,2018-01-01,43
BA,BIH,Bosnia & Herzegovina,EIS,European Innovation Scoreboard,2018-01-01,49
CH,CHE,Switzerland,EIS,European Innovation Scoreboard,2018-01-01,1
IS,ISL,Iceland,EIS,European Innovation Scoreboard,2018-01-01,16
MD,MDA,Moldova,EIS,European Innovation Scoreboard,2018-01-01,50
ME,MNE,Montenegro,EIS,European Innovation Scoreboard,2018-01-01,39
MK,MKD,North Macedonia,EIS,European Innovation Scoreboard,2018-01-01,42
NO,NOR,Norway,EIS,European Innovation Scoreboard,2018-01-01,11
RS,SRB,Serbia,EIS,European Innovation Scoreboard,2018-01-01,38
TR,TUR,Türkiye,EIS,European Innovation Scoreboard,2018-01-01,35
UA,UKR,Ukraine,EIS,European Innovation Scoreboard,2018-01-01,48
GB,GBR,United Kingdom,EIS,European Innovation Scoreboard,2018-01-01,6
AT,AUT,Austria,EIS,European Innovation Scoreboard,2019-01-01,12
BE,BEL,Belgium,EIS,European Innovation Scoreboard,2019-01-01,10
BG,BGR,Bulgaria,EIS,European Innovation Scoreboard,2019-01-01,40
CY,CYP,Cyprus,EIS,European Innovation Scoreboard,2019-01-01,27
CZ,CZE,Czechia,EIS,European Innovation Scoreboard,2019-01-01,28
DE,DEU,Germany,EIS,European Innovation Scoreboard,2019-01-01,14
DK,DNK,Denmark,EIS,European Innovation Scoreboard,2019-01-01,3
EE,EST,Estonia,EIS,European Innovation Scoreboard,2019-01-01,22
GR,GRC,Greece,EIS,European Innovation Scoreboard,2019-01-01,30
ES,ESP,Spain,EIS,European Innovation Scoreboard,2019-01-01,24
FI,FIN,Finland,EIS,European Innovation Scoreboard,2019-01-01,5
FR,FRA,France,EIS,European Innovation Scoreboard,2019-01-01,15
HR,HRV,Croatia,EIS,European Innovation Scoreboard,2019-01-01,32
HU,HUN,Hungary,EIS,European Innovation Scoreboard,2019-01-01,33
IE,IRL,Ireland,EIS,European Innovation Scoreboard,2019-01-01,9
IT,ITA,Italy,EIS,European Innovation Scoreboard,2019-01-01,25
LT,LTU,Lithuania,EIS,European Innovation Scoreboard,2019-01-01,29
LU,LUX,Luxembourg,EIS,European Innovation Scoreboard,2019-01-01,7
LV,LVA,Latvia,EIS,European Innovation Scoreboard,2019-01-01,35
MT,MLT,Malta,EIS,European Innovation Scoreboard,2019-01-01,21
NL,NLD,Netherlands,EIS,European Innovation Scoreboard,2019-01-01,4
PL,POL,Poland,EIS,European Innovation Scoreboard,2019-01-01,36
PT,PRT,Portugal,EIS,European Innovation Scoreboard,2019-01-01,20
RO,ROU,Romania,EIS,European Innovation Scoreboard,2019-01-01,44
SE,SWE,Sweden,EIS,European Innovation Scoreboard,2019-01-01,2
SI,SVN,Slovenia,EIS,European Innovation Scoreboard,2019-01-01,26
SK,SVK,Slovak Republic,EIS,European Innovation Scoreboard,2019-01-01,31
AL,ALB,Albania,EIS,European Innovation Scoreboard,2019-01-01,42
BA,BIH,Bosnia & Herzegovina,EIS,European Innovation Scoreboard,2019-01-01,50
CH,CHE,Switzerland,EIS,European Innovation Scoreboard,2019-01-01,1
IS,ISL,Iceland,EIS,European Innovation Scoreboard,2019-01-01,16
