iso2,iso3,country,var,var_long,var_axis,var_question,year,obs_value,year_date
AT,AUT,Austria,1.1.1,New doctorate graduates (in STEM),"New doctorate graduates in science, technology, engineering, and mathematics (STEM) per 1,000 population aged 25-34","How many individuals with doctoral degrees in science, technology, engineering, or mathematics fields graduate each year",2015,0.9,2015-01-01
AT,AUT,Austria,1.2.1,International scientific co-publications,International scientific co-publications per million population,How frequently do researchers from different countries collaborate and publish together,2017,1752.22119569833,2017-01-01
AT,AUT,Austria,1.2.2,Top 10% most cited publications,Scientific publications among the top-10% most cited publications worldwide as percentage of total scientific publications of the country,What percentage of publications are among the most cited in their respective fields,2015,11.1314877504457,2015-01-01
AT,AUT,Austria,1.2.3,Foreign doctorate students,Foreign doctorate students as a percentage of all doctorate students,How many students from other countries are pursuing doctoral degrees within the country's universities,2016,28.262164001361,2016-01-01
AT,AUT,Austria,2.1.1,SMEs with product innovations,R&D expenditure in the public sector (percentage of GDP),How many small and medium-sized enterprises have introduced new products to the market,2016,0.92,2016-01-01
AT,AUT,Austria,2.1.2,SMEs with business process innovations,Venture capital expenditures (percentage of GDP),How many SMEs have implemented innovative changes to their business processes,2017,0.0651755158296859,2017-01-01
AT,AUT,Austria,2.1.3,Innovative SMEs collaborating with others,Direct government funding and government tax support for business R&D (percentage of GDP),How many SMEs are engaged in collaborative efforts with other organisations,2015,0.26019999,2015-01-01
AT,AUT,Austria,2.2.1,Public-private co-publications,R&D expenditure in the business sector (percentage of GDP),How frequently do public and private sector entities collaborate and publish research together,2016,2.2,2016-01-01
AT,AUT,Austria,2.3.1,Trademark applications,Cloud computing in enterprises,How many new trademarks are applied for,2016,17.05,2016-01-01
AT,AUT,Austria,3.2.2,R&D expenditure in the business sector,Public-private co-publications per million population,How much do businesses invest in research and development activities,2017,396.221758798295,2017-01-01
AT,AUT,Austria,3.3.1,Innovation expenditures per person employed in innovation-active enterprises,PCT patent applications per billion GDP (in PPS),How much is spent on innovation per employee in companies actively engaged in innovation,2015,5.99187248775726,2015-01-01
AT,AUT,Austria,3.3.2,Cloud computing in enterprises,Trademark applications per billion GDP (in PPS),What percentage of enterprises use intermediate or advanced cloud computing services for their operations,2016,9.92581619584909,2016-01-01
AT,AUT,Austria,3.3.3,Employed ICT specialists,Design applications per billion GDP (in PPS),How many specialists in information and communication technologies (ICT) are employed within the economy,2016,7.43326637445962,2016-01-01
AT,AUT,Austria,4.2.1,Medium and high-tech product exports,Exports of medium and high technology products as a share of total product exports,What is the value of exports of medium and high-tech products,2017,58.0347981399996,2017-01-01
AT,AUT,Austria,4.2.2,Knowledge-intensive services exports,Knowledge-intensive services exports as a percentage of total services exports,What is the value of exports of services requiring advanced knowledge and skills,2016,43.2502,2016-01-01
AT,AUT,Austria,4.2.3,High tech imports from partners outside of the EU,High-tech imports from outside the EU,How dependent is a country on high tech imports from outside the EU?,2015,20.3662450492815,2015-01-01
AT,AUT,Austria,4.3.1,Resource productivity,Resource productivity,How efficiently are resources being used in production processes,2015,2.0387,2015-01-01
AT,AUT,Austria,4.3.2,Production-based CO2 produtivity,Production-based CO2 productivity,How efficiently is the economy generating value while limiting CO2 emissions,2016,8.45,2016-01-01
AT,AUT,Austria,4.3.3,Labour productivity,Labour productivity,How efficiently is economic value being generated for each hour of work,2017,50.45,2017-01-01
BE,BEL,Belgium,1.1.1,New doctorate graduates (in STEM),"New doctorate graduates in science, technology, engineering, and mathematics (STEM) per 1,000 population aged 25-34","How many individuals with doctoral degrees in science, technology, engineering, or mathematics fields graduate each year",2015,0.9,2015-01-01
BE,BEL,Belgium,1.2.1,International scientific co-publications,International scientific co-publications per million population,How frequently do researchers from different countries collaborate and publish together,2017,1822.36588318236,2017-01-01
BE,BEL,Belgium,1.2.2,Top 10% most cited publications,Scientific publications among the top-10% most cited publications worldwide as percentage of total scientific publications of the country,What percentage of publications are among the most cited in their respective fields,2015,13.5497064906507,2015-01-01
BE,BEL,Belgium,1.2.3,Foreign doctorate students,Foreign doctorate students as a percentage of all doctorate students,How many students from other countries are pursuing doctoral degrees within the country's universities,2016,44.219358705424,2016-01-01
BE,BEL,Belgium,2.1.1,SMEs with product innovations,R&D expenditure in the public sector (percentage of GDP),How many small and medium-sized enterprises have introduced new products to the market,2016,0.78,2016-01-01
BE,BEL,Belgium,2.1.2,SMEs with business process innovations,Venture capital expenditures (percentage of GDP),How many SMEs have implemented innovative changes to their business processes,2017,0.135944248509575,2017-01-01
BE,BEL,Belgium,2.1.3,Innovative SMEs collaborating with others,Direct government funding and government tax support for business R&D (percentage of GDP),How many SMEs are engaged in collaborative efforts with other organisations,2015,0.236599993,2015-01-01
BE,BEL,Belgium,2.2.1,Public-private co-publications,R&D expenditure in the business sector (percentage of GDP),How frequently do public and private sector entities collaborate and publish research together,2016,1.74,2016-01-01
BE,BEL,Belgium,2.3.1,Trademark applications,Cloud computing in enterprises,How many new trademarks are applied for,2016,28.46,2016-01-01
BE,BEL,Belgium,3.2.2,R&D expenditure in the business sector,Public-private co-publications per million population,How much do businesses invest in research and development activities,2017,296.871128067121,2017-01-01
BE,BEL,Belgium,3.3.1,Innovation expenditures per person employed in innovation-active enterprises,PCT patent applications per billion GDP (in PPS),How much is spent on innovation per employee in companies actively engaged in innovation,2015,4.41522500243654,2015-01-01
BE,BEL,Belgium,3.3.2,Cloud computing in enterprises,Trademark applications per billion GDP (in PPS),What percentage of enterprises use intermediate or advanced cloud computing services for their operations,2016,6.23338447838395,2016-01-01
BE,BEL,Belgium,3.3.3,Employed ICT specialists,Design applications per billion GDP (in PPS),How many specialists in information and communication technologies (ICT) are employed within the economy,2016,2.91611900802362,2016-01-01
BE,BEL,Belgium,4.2.1,Medium and high-tech product exports,Exports of medium and high technology products as a share of total product exports,What is the value of exports of medium and high-tech products,2017,48.9831883872735,2017-01-01
BE,BEL,Belgium,4.2.2,Knowledge-intensive services exports,Knowledge-intensive services exports as a percentage of total services exports,What is the value of exports of services requiring advanced knowledge and skills,2016,70.8091,2016-01-01
BE,BEL,Belgium,4.2.3,High tech imports from partners outside of the EU,High-tech imports from outside the EU,How dependent is a country on high tech imports from outside the EU?,2015,26.5007758549866,2015-01-01
BE,BEL,Belgium,4.3.1,Resource productivity,Resource productivity,How efficiently are resources being used in production processes,2015,2.5671,2015-01-01
BE,BEL,Belgium,4.3.2,Production-based CO2 produtivity,Production-based CO2 productivity,How efficiently is the economy generating value while limiting CO2 emissions,2016,7.12,2016-01-01
BE,BEL,Belgium,4.3.3,Labour productivity,Labour productivity,How efficiently is economic value being generated for each hour of work,2017,56.88,2017-01-01
BG,BGR,Bulgaria,1.1.1,New doctorate graduates (in STEM),"New doctorate graduates in science, technology, engineering, and mathematics (STEM) per 1,000 population aged 25-34","How many individuals with doctoral degrees in science, technology, engineering, or mathematics fields graduate each year",2015,0.5,2015-01-01
BG,BGR,Bulgaria,1.2.1,International scientific co-publications,International scientific co-publications per million population,How frequently do researchers from different countries collaborate and publish together,2017,337.687994980085,2017-01-01
BG,BGR,Bulgaria,1.2.2,Top 10% most cited publications,Scientific publications among the top-10% most cited publications worldwide as percentage of total scientific publications of the country,What percentage of publications are among the most cited in their respective fields,2015,2.52456598113648,2015-01-01
BG,BGR,Bulgaria,1.2.3,Foreign doctorate students,Foreign doctorate students as a percentage of all doctorate students,How many students from other countries are pursuing doctoral degrees within the country's universities,2016,6.28148148148148,2016-01-01
BG,BGR,Bulgaria,2.1.1,SMEs with product innovations,R&D expenditure in the public sector (percentage of GDP),How many small and medium-sized enterprises have introduced new products to the market,2016,0.2,2016-01-01
BG,BGR,Bulgaria,2.1.2,SMEs with business process innovations,Venture capital expenditures (percentage of GDP),How many SMEs have implemented innovative changes to their business processes,2017,0.0467302787834538,2017-01-01
BG,BGR,Bulgaria,2.1.3,Innovative SMEs collaborating with others,Direct government funding and government tax support for business R&D (percentage of GDP),How many SMEs are engaged in collaborative efforts with other organisations,2015,0.0096000005,2015-01-01
