iso2,iso3,country,group,year,year_date,var,obs_value,var_code,var_long,var_axis
AL,ALB,Albania,Neighbouring,2017,2017-01-01,1.1.2,26.48614986,tert_edu_pop,Population with tertiary education,Percentage population aged 25-34 having completed tertiary education
AL,ALB,Albania,Neighbouring,2017,2017-01-01,1.2.1,81.02679379,intl_sci_pubs,International scientific co-publications,International scientific co-publications per million population
AL,ALB,Albania,Neighbouring,2017,2017-01-01,1.2.2,1.336692674,top_cited_pubs,Scientific publications among the top 10% most cited,Scientific publications among the top-10% most cited publications worldwide as percentage of total scientific publications of the country
AL,ALB,Albania,Neighbouring,2017,2017-01-01,3.2.2,9.737125434,pub_priv_pubs,Public-private co-publications,Public-private publications per million population
AL,ALB,Albania,Neighbouring,2017,2017-01-01,3.3.1,0.084523454,pct_patents,PCT patent applications,PCT patent applications per billion GDP (in PPS)
AL,ALB,Albania,Neighbouring,2017,2017-01-01,3.3.2,0.190824825,trademark_apps,Trademark applications,Trademark applications per billion GDP (in PPS)
AL,ALB,Albania,Neighbouring,2017,2017-01-01,3.3.3,0,design_apps,Design applications,Design applications per billion GDP (in PPS)
AL,ALB,Albania,Neighbouring,2017,2017-01-01,4.1.1,8.532306843,know_int_emp,Employment in knowledge-intensive activities,Employment in knowledge-intensive activities (percentage of total employment)
AL,ALB,Albania,Neighbouring,2017,2017-01-01,4.2.1,7.974256674,hi_tech_exports,Exports of medium and high technology products,Exports of medium and high technology products as a share of total products exports
AL,ALB,Albania,Neighbouring,2017,2017-01-01,4.2.2,17.0566,know_serv_exports,Knowledge-intensive services exports,Knowledge-intensive services exports as a share of total services exports
AL,ALB,Albania,Neighbouring,2017,2017-01-01,4.3.1,1.0277,resource_prod,Resource productivity,Resource productivity (PPS per kg)
AL,ALB,Albania,Neighbouring,2017,2017-01-01,4.3.3,15.11,env_tech,Environment-related technologies,Development of environment-related technologies, percentage of all technologies
AL,ALB,Albania,Neighbouring,2018,2018-01-01,1.1.2,29.864173,tert_edu_pop,Population with tertiary education,Percentage population aged 25-34 having completed tertiary education
AL,ALB,Albania,Neighbouring,2018,2018-01-01,1.1.3,9.2,lifelong_learn,Population involved in lifelong learning,Percentage population aged 25-64 participating in lifelong learning
AL,ALB,Albania,Neighbouring,2018,2018-01-01,1.2.1,82.73682286,intl_sci_pubs,International scientific co-publications,International scientific co-publications per million population
AL,ALB,Albania,Neighbouring,2018,2018-01-01,1.2.2,3.736574837,top_cited_pubs,Scientific publications among the top 10% most cited,Scientific publications among the top-10% most cited publications worldwide as percentage of total scientific publications of the country
AL,ALB,Albania,Neighbouring,2018,2018-01-01,3.2.2,9.038476447,pub_priv_pubs,Public-private co-publications,Public-private publications per million population
AL,ALB,Albania,Neighbouring,2018,2018-01-01,3.3.1,0.128696816,pct_patents,PCT patent applications,PCT patent applications per billion GDP (in PPS)
AL,ALB,Albania,Neighbouring,2018,2018-01-01,3.3.2,0.683776288,trademark_apps,Trademark applications,Trademark applications per billion GDP (in PPS)
