iso3,country,index,index_name,year,rank
SGP,Singapore,WCR,IMD World Competitiveness Ranking,1997-01-01,2
CHE,Switzerland,WCR,IMD World Competitiveness Ranking,1997-01-01,12
DNK,Denmark,WCR,IMD World Competitiveness Ranking,1997-01-01,13
IRL,Ireland,WCR,IMD World Competitiveness Ranking,1997-01-01,10
HKG,Hong Kong,WCR,IMD World Competitiveness Ranking,1997-01-01,3
SWE,Sweden,WCR,IMD World Competitiveness Ranking,1997-01-01,19
TWN,Chinese Taipei,WCR,IMD World Competitiveness Ranking,1997-01-01,18
NLD,Netherlands,WCR,IMD World Competitiveness Ranking,1997-01-01,4
NOR,Norway,WCR,IMD World Competitiveness Ranking,1997-01-01,5
NA,United States,WCR,IMD World Competitiveness Ranking,1997-01-01,1
AUS,Australia,WCR,IMD World Competitiveness Ranking,1997-01-01,15
CHN,China (People’s Republic of),WCR,IMD World Competitiveness Ranking,1997-01-01,27
FIN,Finland,WCR,IMD World Competitiveness Ranking,1997-01-01,7
ISL,Iceland,WCR,IMD World Competitiveness Ranking,1997-01-01,21
BEL,Belgium,WCR,IMD World Competitiveness Ranking,1997-01-01,23
CAN,Canada,WCR,IMD World Competitiveness Ranking,1997-01-01,6
KOR,South Korea,WCR,IMD World Competitiveness Ranking,1997-01-01,30
ISR,Israel,WCR,IMD World Competitiveness Ranking,1997-01-01,25
LUX,Luxembourg,WCR,IMD World Competitiveness Ranking,1997-01-01,8
DEU,Germany,WCR,IMD World Competitiveness Ranking,1997-01-01,16
THA,Thailand,WCR,IMD World Competitiveness Ranking,1997-01-01,31
AUT,Austria,WCR,IMD World Competitiveness Ranking,1997-01-01,20
IDN,Indonesia,WCR,IMD World Competitiveness Ranking,1997-01-01,38
GBR,United Kingdom,WCR,IMD World Competitiveness Ranking,1997-01-01,9
CZE,Czechia,WCR,IMD World Competitiveness Ranking,1997-01-01,33
FRA,France,WCR,IMD World Competitiveness Ranking,1997-01-01,22
NZL,New Zealand,WCR,IMD World Competitiveness Ranking,1997-01-01,11
MYS,Malaysia,WCR,IMD World Competitiveness Ranking,1997-01-01,14
PRT,Portugal,WCR,IMD World Competitiveness Ranking,1997-01-01,32
JPN,Japan,WCR,IMD World Competitiveness Ranking,1997-01-01,17
IND,India,WCR,IMD World Competitiveness Ranking,1997-01-01,41
ESP,Spain,WCR,IMD World Competitiveness Ranking,1997-01-01,26
POL,Poland,WCR,IMD World Competitiveness Ranking,1997-01-01,43
ITA,Italy,WCR,IMD World Competitiveness Ranking,1997-01-01,39
CHL,Chile,WCR,IMD World Competitiveness Ranking,1997-01-01,24
GRC,Greece,WCR,IMD World Competitiveness Ranking,1997-01-01,36
SGP,Singapore,WCR,IMD World Competitiveness Ranking,2002-01-01,8
CHE,Switzerland,WCR,IMD World Competitiveness Ranking,2002-01-01,5
DNK,Denmark,WCR,IMD World Competitiveness Ranking,2002-01-01,6
IRL,Ireland,WCR,IMD World Competitiveness Ranking,2002-01-01,9
HKG,Hong Kong,WCR,IMD World Competitiveness Ranking,2002-01-01,13
SWE,Sweden,WCR,IMD World Competitiveness Ranking,2002-01-01,12
TWN,Chinese Taipei,WCR,IMD World Competitiveness Ranking,2002-01-01,20
NLD,Netherlands,WCR,IMD World Competitiveness Ranking,2002-01-01,4
NOR,Norway,WCR,IMD World Competitiveness Ranking,2002-01-01,14
