source,target,value
Business enterprise sector,Business enterprise sector,15.6
Confederation,Business enterprise sector,0.3
Confederation,Confederation,0.2
Business enterprise sector,Higher education and PNP sectors,0.9
Confederation,Higher education and PNP sectors,3.6
Cantons,Higher education and PNP sectors,2.6
Higher education and PNP sectors,Higher education and PNP sectors,0.3
Higher education and PNP sectors,Business enterprise sector,0.1
Abroad,Business enterprise sector,2
Abroad,Higher education and PNP sectors,0.3
Business enterprise sector,Abroad,8.1
Confederation,Abroad,0.3
